Total Play Time,Total XP,Bot Name
1153.55,29898,bot2
1164.1499999999999,31676,bot3
1076.6250000000005,26738,bot1
1155.55,29958,bot2
1168.1499999999999,31796,bot3
1201.475,28508,bot4
1084.6250000000005,26858,bot1
1159.55,30158,bot2
1170.1499999999999,31876,bot3
1203.475,28568,bot4
1086.6250000000005,26958,bot1
1178.1499999999999,32116,bot3
1205.475,28592,bot4
1094.6250000000005,27358,bot1
1163.95,30218,bot2
1213.475,28688,bot4
1165.95,30278,bot2
1188.4999999999998,32188,bot3
1221.475,28808,bot4
1099.2250000000004,27418,bot1
1173.95,30398,bot2
1192.4999999999998,32236,bot3
1229.475,29128,bot4
1103.2250000000004,27466,bot1
1177.95,30434,bot2
1200.4999999999998,32476,bot3
1105.2250000000004,27490,bot1
1179.95,30514,bot2
1204.4999999999998,32524,bot3
1239.925,29248,bot4
1107.2250000000004,27570,bot1
1183.95,30674,bot2
1206.4999999999998,32554,bot3
1241.925,29266,bot4
1109.2250000000004,27670,bot1
1185.95,30774,bot2
1210.4999999999998,32674,bot3
1245.925,29302,bot4
1113.2250000000004,27790,bot1
1193.95,30870,bot2
1218.4999999999998,32914,bot3
1247.925,29362,bot4
1115.2250000000004,27814,bot1
1220.4999999999998,32974,bot3
1251.925,29562,bot4
1119.2250000000004,27874,bot1
1200.4,30918,bot2
1222.4999999999998,33054,bot3
1259.925,29658,bot4
1127.2250000000004,28274,bot1
1202.4,30978,bot2
1129.2250000000004,28354,bot1
1206.4,31014,bot2
1232.9499999999998,33150,bot3
1266.125,29706,bot4
1208.4,31044,bot2
1236.9499999999998,33350,bot3
1274.125,29802,bot4
1135.8250000000003,28554,bot1
1212.4,31204,bot2
1238.9499999999998,33368,bot3
1278.125,29862,bot4
1143.8250000000003,28674,bot1
1214.4,31304,bot2
1240.9499999999998,33468,bot3
1280.125,29886,bot4
1147.8250000000003,28734,bot1
1216.4,31364,bot2
1244.9499999999998,33668,bot3
1282.125,29916,bot4
1155.8250000000003,29134,bot1
1220.4,31424,bot2
1248.9499999999998,33788,bot3
1286.125,30116,bot4
1228.4,31520,bot2
1256.9499999999998,33884,bot3
1288.125,30176,bot4
1166.2250000000004,29254,bot1
1290.125,30194,bot4
1174.2250000000004,29326,bot1
1238.8000000000002,31760,bot2
1263.4499999999998,34084,bot3
1292.125,30218,bot4
1176.2250000000004,29344,bot1
1240.8000000000002,31840,bot2
1267.4499999999998,34132,bot3
1184.2250000000004,29464,bot1
1248.8000000000002,31960,bot2
1271.4499999999998,34192,bot3
1296.525,30236,bot4
1188.2250000000004,29512,bot1
1256.8000000000002,32280,bot2
1275.4499999999998,34252,bot3
1298.525,30254,bot4
1264.8000000000002,32352,bot2
1279.4499999999998,34312,bot3
1300.525,30314,bot4
1198.6250000000005,29832,bot1
1281.4499999999998,34372,bot3
1304.525,30350,bot4
1206.6250000000005,30072,bot1
1275.15,32424,bot2
1285.4499999999998,34492,bot3
1308.525,30398,bot4
1208.6250000000005,30132,bot1
1277.15,32484,bot2
1316.525,30638,bot4
1216.6250000000005,30372,bot1
1281.15,32532,bot2
1295.6499999999999,34564,bot3
1318.525,30656,bot4
1218.6250000000005,30390,bot1
1283.15,32612,bot2
1303.6499999999999,34884,bot3
1326.525,31056,bot4
1220.6250000000005,30408,bot1
1285.15,32672,bot2
1305.6499999999999,34908,bot3
1330.525,31116,bot4
1224.6250000000005,30568,bot1
1293.15,32744,bot2
